iter	Logloss
0	0.6535286181
1	0.6225456594
2	0.5884506576
3	0.5546435119
4	0.5290399985
5	0.5071108321
6	0.4835581421
7	0.4621193134
8	0.4433891546
9	0.4267250718
10	0.4132646297
11	0.4001841293
12	0.3895963211
13	0.3770151722
14	0.3681121607
15	0.3574848167
16	0.3488873877
17	0.339036835
18	0.3326276767
19	0.3246359401
20	0.317949166
21	0.3114839276
22	0.3064281048
23	0.2983511342
24	0.2918117884
25	0.2846691757
26	0.2798314044
27	0.2746624556
28	0.2707303745
29	0.2657103743
30	0.2614811209
31	0.2565732456
32	0.2529004597
33	0.2501569681
34	0.247720124
35	0.2443672586
36	0.2411174303
37	0.236576451
38	0.2328932286
39	0.2299163815
40	0.2274514645
41	0.2248258402
42	0.220832517
43	0.2171381328
44	0.2145067466
45	0.2124990956
46	0.2103752292
47	0.2072470997
48	0.2050649966
49	0.2020021067
50	0.1996614677
51	0.1979760578
52	0.196645847
53	0.1948742918
54	0.1924243771
55	0.19060519
56	0.1879000681
57	0.1859862237
58	0.1837924205
59	0.1791561716
60	0.1781458084
61	0.1768455796
62	0.1758200036
63	0.1748583402
64	0.1730952124
65	0.1718899181
66	0.1701939617
67	0.1686595936
68	0.1674026082
69	0.1662454123
70	0.1646382383
71	0.1637834774
72	0.1624452745
73	0.1615419175
74	0.1608483732
75	0.1599245725
76	0.1588522224
77	0.1580107535
78	0.1567606714
79	0.1559250346
80	0.1548464913
81	0.1541232586
82	0.1533045345
83	0.1519653842
84	0.1512777722
85	0.1502563094
86	0.1491743525
87	0.1438233528
88	0.1429630848
89	0.1421956605
90	0.1413059424
91	0.1405072934
92	0.1397356783
93	0.1385541244
94	0.1373798497
95	0.1365782832
96	0.1359910473
97	0.1354737536
98	0.1346076846
99	0.1340932953
100	0.1336302425
101	0.1331610104
102	0.1323040443
103	0.1315955069
104	0.1310634041
105	0.1305777747
106	0.1283259807
107	0.1278083868
108	0.1271547399
109	0.1262082203
110	0.1256303882
111	0.1249917247
112	0.1241447654
113	0.1236225615
114	0.1230375319
115	0.1225991809
116	0.1219771481
117	0.1213093955
118	0.1208797789
119	0.1205449229
120	0.1201658224
121	0.119686028
122	0.1190558169
123	0.1186577404
124	0.118306438
125	0.1178472714
126	0.1174626323
127	0.1169038871
128	0.1165238309
129	0.1160689656
130	0.1153371568
131	0.115053985
132	0.114555823
133	0.1142465886
134	0.1139662873
135	0.1136340553
136	0.1133712733
137	0.1127400544
